electrode1,electrode2,electrode3,electrode4,class
51.0,35.0,14.0,2.0,bilingual-L1
49.0,30.0,14.0,2.0,bilingual-L1
47.0,32.0,13.0,2.0,bilingual-L1
46.0,31.0,15.0,2.0,bilingual-L1
50.0,36.0,14.0,2.0,bilingual-L1
54.0,39.0,17.0,4.0,bilingual-L1
46.0,34.0,14.0,3.0,bilingual-L1
50.0,34.0,15.0,2.0,bilingual-L1
44.0,29.0,14.0,2.0,bilingual-L1
49.0,31.0,15.0,1.0,bilingual-L1
54.0,37.0,15.0,2.0,bilingual-L1
48.0,34.0,16.0,2.0,bilingual-L1
48.0,30.0,14.0,1.0,bilingual-L1
43.0,30.0,11.0,1.0,bilingual-L1
58.0,40.0,12.0,2.0,bilingual-L1
57.0,44.0,15.0,4.0,bilingual-L1
54.0,39.0,13.0,4.0,bilingual-L1
51.0,35.0,14.0,3.0,bilingual-L1
57.0,38.0,17.0,3.0,bilingual-L1
51.0,38.0,15.0,3.0,bilingual-L1
54.0,34.0,17.0,2.0,bilingual-L1
51.0,37.0,15.0,4.0,bilingual-L1
46.0,36.0,10.0,2.0,bilingual-L1
51.0,33.0,17.0,5.0,bilingual-L1
48.0,34.0,19.0,2.0,bilingual-L1
50.0,30.0,16.0,2.0,bilingual-L1
50.0,34.0,16.0,4.0,bilingual-L1
52.0,35.0,15.0,2.0,bilingual-L1
52.0,34.0,14.0,2.0,bilingual-L1
47.0,32.0,16.0,2.0,bilingual-L1
48.0,31.0,16.0,2.0,bilingual-L1
54.0,34.0,15.0,4.0,bilingual-L1
52.0,41.0,15.0,1.0,bilingual-L1
55.0,42.0,14.0,2.0,bilingual-L1
49.0,31.0,15.0,1.0,bilingual-L1
50.0,32.0,12.0,2.0,bilingual-L1
55.0,35.0,13.0,2.0,bilingual-L1
49.0,31.0,15.0,1.0,bilingual-L1
44.0,30.0,13.0,2.0,bilingual-L1
51.0,34.0,15.0,2.0,bilingual-L1
50.0,35.0,13.0,3.0,bilingual-L1
45.0,23.0,13.0,3.0,bilingual-L1
44.0,32.0,13.0,2.0,bilingual-L1
50.0,35.0,16.0,6.0,bilingual-L1
51.0,38.0,19.0,4.0,bilingual-L1
48.0,30.0,14.0,3.0,bilingual-L1
51.0,38.0,16.0,2.0,bilingual-L1
46.0,32.0,14.0,2.0,bilingual-L1
53.0,37.0,15.0,2.0,bilingual-L1
50.0,33.0,14.0,2.0,bilingual-L1
70.0,32.0,47.0,14.0,bilingual-L2
64.0,32.0,45.0,15.0,bilingual-L2
69.0,31.0,49.0,15.0,bilingual-L2
55.0,23.0,40.0,13.0,bilingual-L2
65.0,28.0,46.0,15.0,bilingual-L2
57.0,28.0,45.0,13.0,bilingual-L2
63.0,33.0,47.0,16.0,bilingual-L2
49.0,24.0,33.0,10.0,bilingual-L2
66.0,29.0,46.0,13.0,bilingual-L2
52.0,27.0,39.0,14.0,bilingual-L2
50.0,20.0,35.0,10.0,bilingual-L2
59.0,30.0,42.0,15.0,bilingual-L2
60.0,22.0,40.0,10.0,bilingual-L2
61.0,29.0,47.0,14.0,bilingual-L2
56.0,29.0,36.0,13.0,bilingual-L2
67.0,31.0,44.0,14.0,bilingual-L2
56.0,30.0,45.0,15.0,bilingual-L2
58.0,27.0,41.0,10.0,bilingual-L2
62.0,22.0,45.0,15.0,bilingual-L2
56.0,25.0,39.0,11.0,bilingual-L2
59.0,32.0,48.0,18.0,bilingual-L2
61.0,28.0,40.0,13.0,bilingual-L2
63.0,25.0,49.0,15.0,bilingual-L2
61.0,28.0,47.0,12.0,bilingual-L2
64.0,29.0,43.0,13.0,bilingual-L2
66.0,30.0,44.0,14.0,bilingual-L2
68.0,28.0,48.0,14.0,bilingual-L2
67.0,30.0,50.0,17.0,bilingual-L2
60.0,29.0,45.0,15.0,bilingual-L2
57.0,26.0,35.0,10.0,bilingual-L2
55.0,24.0,38.0,11.0,bilingual-L2
55.0,24.0,37.0,10.0,bilingual-L2
58.0,27.0,39.0,12.0,bilingual-L2
60.0,27.0,51.0,16.0,bilingual-L2
54.0,30.0,45.0,15.0,bilingual-L2
60.0,34.0,45.0,16.0,bilingual-L2
67.0,31.0,47.0,15.0,bilingual-L2
63.0,23.0,44.0,13.0,bilingual-L2
56.0,30.0,41.0,13.0,bilingual-L2
55.0,25.0,40.0,13.0,bilingual-L2
55.0,26.0,44.0,12.0,bilingual-L2
61.0,30.0,46.0,14.0,bilingual-L2
58.0,26.0,40.0,12.0,bilingual-L2
50.0,23.0,33.0,10.0,bilingual-L2
56.0,27.0,42.0,13.0,bilingual-L2
57.0,30.0,42.0,12.0,bilingual-L2
57.0,29.0,42.0,13.0,bilingual-L2
62.0,29.0,43.0,13.0,bilingual-L2
51.0,25.0,30.0,11.0,bilingual-L2
57.0,28.0,41.0,13.0,bilingual-L2
63.0,33.0,60.0,25.0,monilingual
58.0,27.0,51.0,19.0,monilingual
71.0,30.0,59.0,21.0,monilingual
63.0,29.0,56.0,18.0,monilingual
65.0,30.0,58.0,22.0,monilingual
76.0,30.0,66.0,21.0,monilingual
49.0,25.0,45.0,17.0,monilingual
73.0,29.0,63.0,18.0,monilingual
67.0,25.0,58.0,18.0,monilingual
72.0,36.0,61.0,25.0,monilingual
65.0,32.0,51.0,20.0,monilingual
64.0,27.0,53.0,19.0,monilingual
68.0,30.0,55.0,21.0,monilingual
57.0,25.0,50.0,20.0,monilingual
58.0,28.0,51.0,24.0,monilingual
64.0,32.0,53.0,23.0,monilingual
65.0,30.0,55.0,18.0,monilingual
77.0,38.0,67.0,22.0,monilingual
77.0,26.0,69.0,23.0,monilingual
60.0,22.0,50.0,15.0,monilingual
69.0,32.0,57.0,23.0,monilingual
56.0,28.0,49.0,20.0,monilingual
77.0,28.0,67.0,20.0,monilingual
63.0,27.0,49.0,18.0,monilingual
67.0,33.0,57.0,21.0,monilingual
72.0,32.0,60.0,18.0,monilingual
62.0,28.0,48.0,18.0,monilingual
61.0,30.0,49.0,18.0,monilingual
64.0,28.0,56.0,21.0,monilingual
72.0,30.0,58.0,16.0,monilingual
74.0,28.0,61.0,19.0,monilingual
79.0,38.0,64.0,20.0,monilingual
64.0,28.0,56.0,22.0,monilingual
63.0,28.0,51.0,15.0,monilingual
61.0,26.0,56.0,14.0,monilingual
77.0,30.0,61.0,23.0,monilingual
63.0,34.0,56.0,24.0,monilingual
64.0,31.0,55.0,18.0,monilingual
60.0,30.0,48.0,18.0,monilingual
69.0,31.0,54.0,21.0,monilingual
67.0,31.0,56.0,24.0,monilingual
69.0,31.0,51.0,23.0,monilingual
58.0,27.0,51.0,19.0,monilingual
68.0,32.0,59.0,23.0,monilingual
67.0,33.0,57.0,25.0,monilingual
67.0,30.0,52.0,23.0,monilingual
63.0,25.0,50.0,19.0,monilingual
65.0,30.0,52.0,20.0,monilingual
62.0,34.0,54.0,23.0,monilingual
59.0,30.0,51.0,18.0,monilingual
